respondent_id;Ítem;Respuesta;Heurística;Indicador
3;Q12;3;Reconocer antes que recordar;Indicador 2
4;Q12;4;Reconocer antes que recordar;Indicador 2
5;Q12;3;Reconocer antes que recordar;Indicador 2
6;Q12;4;Reconocer antes que recordar;Indicador 2
7;Q12;5;Reconocer antes que recordar;Indicador 2
1;Q13;5;Flexibilidad y eficiencia de uso;Indicador 1
2;Q13;4;Flexibilidad y eficiencia de uso;Indicador 1
3;Q13;3;Flexibilidad y eficiencia de uso;Indicador 1
4;Q13;4;Flexibilidad y eficiencia de uso;Indicador 1
5;Q13;2;Flexibilidad y eficiencia de uso;Indicador 1
6;Q13;5;Flexibilidad y eficiencia de uso;Indicador 1
7;Q13;4;Flexibilidad y eficiencia de uso;Indicador 1
1;Q14;3;Flexibilidad y eficiencia de uso;Indicador 2
2;Q14;4;Flexibilidad y eficiencia de uso;Indicador 2
3;Q14;3;Flexibilidad y eficiencia de uso;Indicador 2
4;Q14;5;Flexibilidad y eficiencia de uso;Indicador 2
5;Q14;4;Flexibilidad y eficiencia de uso;Indicador 2
6;Q14;5;Flexibilidad y eficiencia de uso;Indicador 2
7;Q14;4;Flexibilidad y eficiencia de uso;Indicador 2
1;Q15;4;Diseño estético y minimalista;Indicador 1
2;Q15;4;Diseño estético y minimalista;Indicador 1
3;Q15;5;Diseño estético y minimalista;Indicador 1
4;Q15;4;Diseño estético y minimalista;Indicador 1
5;Q15;3;Diseño estético y minimalista;Indicador 1
6;Q15;5;Diseño estético y minimalista;Indicador 1
7;Q15;4;Diseño estético y minimalista;Indicador 1
1;Q16;5;Diseño estético y minimalista;Indicador 2
2;Q16;4;Diseño estético y minimalista;Indicador 2
3;Q16;5;Diseño estético y minimalista;Indicador 2
4;Q16;3;Diseño estético y minimalista;Indicador 2
5;Q16;5;Diseño estético y minimalista;Indicador 2
6;Q16;5;Diseño estético y minimalista;Indicador 2
7;Q16;4;Diseño estético y minimalista;Indicador 2
1;Q17;4;Reconocer, diagnosticar y recuperarse de errores;Indicador 1
2;Q17;4;Reconocer, diagnosticar y recuperarse de errores;Indicador 1
3;Q17;2;Reconocer, diagnosticar y recuperarse de errores;Indicador 1
4;Q17;4;Reconocer, diagnosticar y recuperarse de errores;Indicador 1
5;Q17;2;Reconocer, diagnosticar y recuperarse de errores;Indicador 1
6;Q17;5;Reconocer, diagnosticar y recuperarse de errores;Indicador 1
7;Q17;4;Reconocer, diagnosticar y recuperarse de errores;Indicador 1
1;Q18;5;Reconocer, diagnosticar y recuperarse de errores;Indicador 2
2;Q18;5;Reconocer, diagnosticar y recuperarse de errores;Indicador 2
3;Q18;2;Reconocer, diagnosticar y recuperarse de errores;Indicador 2
4;Q18;4;Reconocer, diagnosticar y recuperarse de errores;Indicador 2
5;Q18;4;Reconocer, diagnosticar y recuperarse de errores;Indicador 2
6;Q18;4;Reconocer, diagnosticar y recuperarse de errores;Indicador 2
7;Q18;4;Reconocer, diagnosticar y recuperarse de errores;Indicador 2
1;Q19;4;Ayuda y documentación;Indicador 1
2;Q19;4;Ayuda y documentación;Indicador 1
3;Q19;4;Ayuda y documentación;Indicador 1
4;Q19;5;Ayuda y documentación;Indicador 1
5;Q19;3;Ayuda y documentación;Indicador 1
6;Q19;5;Ayuda y documentación;Indicador 1
7;Q19;5;Ayuda y documentación;Indicador 1
1;Q20;5;Ayuda y documentación;Indicador 2
2;Q20;3;Ayuda y documentación;Indicador 2
3;Q20;5;Ayuda y documentación;Indicador 2
4;Q20;4;Ayuda y documentación;Indicador 2
5;Q20;4;Ayuda y documentación;Indicador 2
6;Q20;5;Ayuda y documentación;Indicador 2
7;Q20;4;Ayuda y documentación;Indicador 2
